City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Busselton,AU,1587418253,15.0,68,18,4.69,-33.65,115.33
Ushuaia,AR,1587417835,6.0,87,75,18.5,-54.8,-68.3
Vanimo,PG,1587418534,26.28,82,99,3.01,-2.67,141.3
Turaif,SA,1587418535,20.0,37,0,4.1,31.67,38.66
Kavieng,PG,1587418535,29.02,71,73,0.24,-2.57,150.8
Gawler,AU,1587418535,12.78,75,5,0.89,-34.6,138.73
Yellowknife,CA,1587418536,-6.0,53,75,6.2,62.46,-114.35
Apaţa,RO,1587418536,6.67,49,77,2.68,45.95,25.52
Tazovsky,RU,1587418536,0.74,97,100,5.12,67.47,78.7
Tiksi,RU,1587418537,-6.93,94,95,1.73,71.69,128.87
Asău,RO,1587418537,4.0,55,12,2.6,46.43,26.4
Hyères,FR,1587418537,15.0,93,90,4.1,43.12,6.12
Bluff,NZ,1587418264,7.22,96,78,0.89,-46.6,168.33
Fairbanks,US,1587418289,5.56,93,90,1.5,64.84,-147.72
Carnarvon,AU,1587418510,20.0,56,75,6.2,-24.87,113.63
Port Harcourt,NG,1587418538,26.89,82,14,3.2,4.78,7.01
Punta Arenas,CL,1587418261,9.0,76,40,14.9,-53.15,-70.92
Marawi,PH,1587418539,20.1,74,0,1.52,8.0,124.29
Mar del Plata,AR,1587418522,20.56,68,100,4.1,-38.0,-57.56
Raahe,FI,1587418539,3.0,64,28,3.6,64.68,24.48
Waddān,LY,1587418539,26.55,15,0,4.89,29.16,16.14
Rikitea,PF,1587418510,24.47,74,29,2.13,-23.12,-134.97
New Norfolk,AU,1587418540,9.44,86,23,1.93,-42.78,147.06
Riachão das Neves,BR,1587418540,23.24,78,46,1.24,-11.75,-44.91
Khatanga,RU,1587418535,-5.19,95,100,2.35,71.97,102.5
Hilo,US,1587418268,27.0,57,40,7.2,19.73,-155.09
Inírida,CO,1587418541,28.08,77,24,1.72,3.87,-67.92
Tual,ID,1587418541,28.62,74,4,3.23,-5.67,132.75
Benxi,CN,1587418542,1.0,47,0,6.0,41.29,123.77
Arraial do Cabo,BR,1587418520,23.0,83,1,2.6,-22.97,-42.03
Vaini,TO,1587418524,28.0,78,75,4.1,-21.2,-175.2
Puerto Suárez,BO,1587418543,33.0,46,40,3.1,-18.95,-57.8
São Francisco,BR,1587418544,22.38,77,32,1.36,-15.95,-44.86
Kuminskiy,RU,1587418545,6.62,79,100,2.77,58.67,66.57
Touros,BR,1587418545,27.0,83,40,4.6,-5.2,-35.46
Ponta do Sol,PT,1587418546,17.0,51,20,3.6,32.67,-17.1
Albany,US,1587418257,11.67,27,75,3.1,42.6,-73.97
Nikolskoye,RU,1587418546,5.56,75,75,2.0,59.7,30.79
Hammond,US,1587418546,18.0,36,75,8.7,41.58,-87.5
Abu Samrah,SY,1587418546,19.68,41,16,1.37,35.3,37.18
Kodinsk,RU,1587418546,-4.08,91,48,1.34,58.69,99.18
Cape Town,ZA,1587417937,15.56,93,75,1.0,-33.93,18.42
Cayenne,GF,1587418267,23.0,100,75,1.25,4.93,-52.33
Caldas da Rainha,PT,1587418284,13.33,81,32,1.79,39.4,-9.14
Hasaki,JP,1587418338,11.11,93,75,0.5,35.73,140.83
Alofi,NU,1587418547,28.0,69,40,5.7,-19.06,-169.92
Bredasdorp,ZA,1587418445,17.0,63,100,1.0,-34.53,20.04
Fukuechō,JP,1587418548,14.21,52,100,9.61,32.69,128.84
Puerto Ayora,EC,1587418548,30.0,66,75,8.7,-0.74,-90.35
Callaway,US,1587418548,25.0,64,1,7.2,30.15,-85.57
Goderich,CA,1587418381,10.0,47,63,9.63,43.75,-81.72
Tuktoyaktuk,CA,1587418520,-14.0,84,90,4.6,69.45,-133.04
Erdenet,MN,1587418549,-6.67,59,0,1.48,49.03,104.08
Nueve de Julio,AR,1587418550,22.78,68,0,0.92,-35.44,-60.88
Anadyr,RU,1587418536,-11.0,78,18,2.0,64.75,177.48
Jiuquan,CN,1587418550,5.73,26,99,1.0,39.74,98.52
Tezu,IN,1587418551,18.98,63,87,1.65,27.92,96.17
Centralia,US,1587418551,18.0,52,75,1.42,46.72,-122.95
Khāpa,IN,1587418552,28.0,48,40,1.0,21.43,78.97
Denpasar,ID,1587418218,26.0,100,40,1.0,-8.65,115.22
Lagoa,PT,1587418288,15.28,67,95,6.34,39.05,-27.98
San Patricio,MX,1587418553,30.0,74,5,5.1,19.22,-104.7
Sangar,RU,1587418553,-10.83,93,0,0.39,63.92,127.47
Atuona,PF,1587418521,28.2,71,3,5.75,-9.8,-139.03
Torbay,CA,1587418292,5.0,64,40,16.5,47.67,-52.73
Esperance,AU,1587418333,13.0,82,9,4.1,-33.87,121.9
Dikson,RU,1587418554,-0.51,97,100,10.12,73.51,80.55
Mataura,NZ,1587418554,7.22,96,89,0.89,-46.19,168.86
Collierville,US,1587418554,23.89,43,20,4.6,35.04,-89.66
Mossamedes,AO,1587418551,24.11,71,23,1.92,-15.2,12.15
Hermanus,ZA,1587418313,13.33,99,100,3.81,-34.42,19.23
Jamestown,US,1587418556,10.56,39,1,4.6,42.1,-79.24
Iqaluit,CA,1587418526,-16.0,65,75,8.2,63.75,-68.51
Pāsighāt,IN,1587418556,18.78,73,90,1.46,28.07,95.33
Sterling,US,1587418544,17.78,44,75,1.5,39.01,-77.43
Mitsamiouli,KM,1587418556,28.38,69,10,1.11,-11.38,43.28
Yerbogachën,RU,1587418378,-4.79,93,3,1.89,61.28,108.01
Rairangpur,IN,1587418557,26.58,62,100,1.19,22.27,86.18
Upernavik,GL,1587418536,-0.86,90,99,3.29,72.79,-56.15
Araouane,ML,1587418557,28.06,13,0,3.83,18.9,-3.53
Ulundi,ZA,1587418557,15.92,67,0,1.82,-28.34,31.42
Saint-Philippe,RE,1587418558,23.0,69,66,4.6,-21.36,55.77
Lüderitz,NA,1587418558,18.0,72,0,3.6,-26.65,15.16
Waterloo,CA,1587418372,10.0,37,20,5.1,43.47,-80.52
Vanavara,RU,1587418558,-4.03,92,0,1.03,60.34,102.28
Hobart,AU,1587418423,10.0,76,75,2.6,-42.88,147.33
Tautira,PF,1587418560,31.0,58,47,1.5,-17.73,-149.15
Manadhoo,MV,1587418560,30.0,69,100,3.07,5.77,73.38
Hualmay,PE,1587418542,23.9,65,10,4.13,-11.1,-77.61
Saint Paul Harbor,US,1587418250,7.0,93,90,3.1,57.79,-152.41
Margate,GB,1587418561,12.22,72,2,12.99,51.38,1.39
Bubaque,GW,1587418550,25.65,72,0,6.16,11.28,-15.83
East London,ZA,1587418400,22.6,71,90,6.12,-33.02,27.91
Sørland,NO,1587418552,5.03,89,95,6.85,67.67,12.69
Airai,TL,1587418353,16.05,71,71,1.34,-8.93,125.41
Geraldton,AU,1587418527,12.0,87,1,4.1,-28.77,114.6
Avarua,CK,1587418564,29.0,74,4,5.1,-21.21,-159.78
Castro,BR,1587418564,16.49,54,2,0.95,-24.79,-50.01
Katsuura,JP,1587418566,12.22,93,75,1.0,35.13,140.3
Bethel,US,1587418566,13.33,34,1,1.97,41.37,-73.41
